,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
0,Nutriband Inc,,,,0,EQUITY,2018-01-06T02:00:00.000Z,AMC,NTRB
1,Hingham Institution For Savings,,,,0,EQUITY,2018-01-18T15:59:00.000Z,TNS,HIFS
2,General American Investors Co Inc,,,,0,EQUITY,2018-01-25T02:00:00.000Z,AMC,GAM
3,Greene County Bancorp Inc,,,,0,EQUITY,2018-01-24T15:59:00.000Z,TNS,GCBC
4,Riverview Bancorp Inc,,,,0,EQUITY,2018-01-25T21:00:00.000Z,TAS,RVSB
5,Investar Holding Corp,,,,0,EQUITY,2018-01-25T15:59:00.000Z,TNS,ISTR
6,Seneca Foods Corp,,,,0,EQUITY,2018-01-25T15:59:00.000Z,TNS,SENEA
7,Republic Bancorp Inc,,,,0,EQUITY,2018-01-26T18:30:00.000Z,BMO,RBCAA
8,Kayne Anderson MLP/Midstream Investment Co,,,,0,EQUITY,2018-01-29T15:59:00.000Z,TNS,KYN
9,Coffee Holding Co Inc,,,,0,EQUITY,2018-01-29T18:30:00.000Z,BMO,JVA
10,Sogou Inc,,,,0,EQUITY,2018-01-29T15:59:00.000Z,TNS,SOGO
11,TGI Solar Power Group Inc,,,,0,EQUITY,2018-01-31T15:59:00.000Z,TNS,TSPG
12,Peoples Financial Services Corp,,,,0,EQUITY,2018-02-03T02:00:00.000Z,AMC,PFIS
13,CTS Corp,,,,0,EQUITY,2018-02-06T16:00:00.000Z,TAS,CTS
14,TGI Solar Power Group Inc,,,,0,EQUITY,2018-02-07T15:59:00.000Z,TNS,TSPG
15,Consolidated-Tomoka Land Co,,,,0,EQUITY,2018-02-08T14:00:00.000Z,TAS,CTO
16,S&W Seed Co,,,,0,EQUITY,2018-02-08T21:30:00.000Z,TAS,SANW
17,Learning Tree International Inc,,,,0,EQUITY,2018-02-08T21:30:00.000Z,TAS,LTRE
18,Chegg Inc,,,,0,EQUITY,2018-02-12T21:30:00.000Z,TAS,CHGG
19,CX Network Group Inc,,,,0,EQUITY,2018-02-12T15:59:00.000Z,TNS,CXKJ
20,Giga-tronics Inc,,,,0,EQUITY,2018-02-12T21:30:00.000Z,TAS,GIGA
21,AeroGrow International Inc,,,,0,EQUITY,2018-02-13T15:59:00.000Z,TNS,AERO
22,Bank of San Francisco,,,,0,EQUITY,2018-02-13T05:00:00.000Z,AMC,BSFO
23,Bluerock Residential Growth REIT Inc,,,,0,EQUITY,2018-02-14T16:00:00.000Z,TAS,BRG
24,InVitro International,,,,0,EQUITY,2018-02-14T15:59:00.000Z,TNS,IVRO
25,Macatawa Bank Corp,,,,0,EQUITY,2018-02-15T15:59:00.000Z,TNS,MCBC
26,Diana Containerships Inc,,,,0,EQUITY,2018-02-20T18:30:00.000Z,BMO,DCIX
27,Hackett Group Inc,,,,0,EQUITY,2018-02-20T22:00:00.000Z,TAS,HCKT
28,Spark Therapeutics Inc,,,,0,EQUITY,2018-02-20T13:30:00.000Z,TAS,ONCE
29,Eldorado Resorts Inc,,,,0,EQUITY,2018-02-22T21:30:00.000Z,TAS,ERI
30,Comfort Systems USA Inc,,,,0,EQUITY,2018-02-23T16:00:00.000Z,TAS,FIX
31,Acme United Corp,0.16,0.23,-30.43,0,EQUITY,2018-02-27T17:00:00.000Z,TAS,ACU
32,Escalade Inc,,,,0,EQUITY,2018-02-28T02:00:00.000Z,AMC,ESCA
33,Bitmis Corp,,,,0,EQUITY,2018-02-28T15:59:00.000Z,TNS,BIMT
34,Kindred Biosciences Inc,,,,0,EQUITY,2018-03-01T21:30:00.000Z,TAS,KIN
35,Jernigan Capital Inc,0.19,0.15,26.67,0,EQUITY,2018-03-01T16:00:00.000Z,TAS,JCAP
36,PIMCO Dynamic Income Fund,,,,0,EQUITY,2018-03-01T15:59:00.000Z,TNS,PDI
37,UFP Technologies Inc,,,,0,EQUITY,2018-03-01T18:30:00.000Z,BMO,UFPT
38,Liberty All-Star Equity Fund,-0.03,-0.08,62.5,0,EQUITY,2018-03-05T15:59:00.000Z,TNS,USA
39,Tarena International Inc,,,,0,EQUITY,2018-03-06T01:00:00.000Z,TAS,TEDU
40,Ooma Inc,-0.03,-0.04,25.0,0,EQUITY,2018-03-06T22:00:00.000Z,TAS,OOMA
41,Okta Inc,-0.1,-0.14,28.57,0,EQUITY,2018-03-07T22:00:00.000Z,TAS,OKTA
42,Joint Corp,-0.02,-0.03,33.33,0,EQUITY,2018-03-09T02:00:00.000Z,AMC,JYNT
43,UTStarcom Holdings Corp,-0.09,0.08,-212.5,0,EQUITY,2018-03-09T13:00:00.000Z,TAS,UTSI
44,Wireless Telecom Group Inc,,,,0,EQUITY,2018-03-12T21:00:00.000Z,TAS,WTT
45,Quanterix Corp,,,,0,EQUITY,2018-03-14T20:30:00.000Z,TAS,QTRX
46,Smith Micro Software Inc,-0.15,-0.11,-36.36,0,EQUITY,2018-03-14T20:30:00.000Z,TAS,SMSI
47,Parke Bancorp Inc,,,,0,EQUITY,2018-03-15T14:59:00.000Z,TNS,PKBK
48,Golden Entertainment Inc,-0.47,0.01,-4800.0,0,EQUITY,2018-03-15T21:00:00.000Z,TAS,GDEN
49,XBiotech Inc,-0.32,-0.47,31.91,0,EQUITY,2018-03-16T16:30:00.000Z,BMO,XBIT
50,XT Energy Group Inc,,,,0,EQUITY,2018-03-19T14:59:00.000Z,TNS,XTEG
51,FalconStor Software Inc,,,,0,EQUITY,2018-03-22T20:30:00.000Z,TAS,FALC
52,Aradigm Corp,-0.28,-0.36,22.22,0,EQUITY,2018-03-23T16:30:00.000Z,BMO,ARDMQ
53,Cypress Energy Partners LP,0.25,0.12,108.33,0,EQUITY,2018-03-23T14:00:00.000Z,TAS,CELP
54,Lululemon Athletica Inc,1.33,1.27,4.72,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,LULU
55,BioAmber Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,BIOA
56,McCormick & Company Inc,1.0,0.91,9.89,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,MKC
57,Where Food Comes From Inc,,,,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,WFCF
58,Celsion Corp,-0.31,-0.31,0.0,0,EQUITY,2018-03-27T14:59:00.000Z,TNS,CLSN
59,Francesca's Holdings Corp,2.4,0.19,1163.16,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,FRAN
60,Shoe Carnival Inc,0.11,0.09,22.22,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,SCVL
61,Sonic Corp,0.17,0.16,6.25,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,SONC
62,Leatt Corp,,,,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,LEAT
63,Dyadic International Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,DYAI
64,Edap Tms SA,0.0,0.02,-100.0,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,EDAP
65,FactSet Research Systems Inc,2.12,2.06,2.91,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,FDS
66,Renmin Tianli Group Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,ABAC
67,MYOS RENS Technology Inc,,,,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,MYOS
68,IHS Markit Ltd,0.53,0.5,6.0,0,EQUITY,2018-03-27T16:30:00.000Z,BMO,INFO
69,RH,1.69,1.55,9.03,0,EQUITY,2018-03-28T00:00:00.000Z,AMC,RH
70,Walgreens Boots Alliance Inc,1.73,1.55,11.61,0,EQUITY,2018-03-28T11:00:00.000Z,TAS,WBA
71,Ascendis Pharma A/S,0.0,0.01,-100.0,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,ASND
72,Americold Realty Trust,,,,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,COLD
73,A Schulman Inc,0.3,0.35,-14.29,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,SHLM
74,iClick Interactive Asia Group Ltd,-0.24,-0.03,-700.0,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,ICLK
75,Dare Bioscience Inc,-2.7,-3.1,12.9,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,DARE
76,Biocept Inc,-5.4,-4.95,-9.09,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,BIOC
77,Cumulus Media Inc,,,,0,EQUITY,2018-03-28T14:59:00.000Z,TNS,CMIA
78,Red Lion Hotels Corp,-0.18,-0.17,-5.88,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,RLH
79,GameStop Corp,2.02,1.97,2.54,0,EQUITY,2018-03-29T00:00:00.000Z,AMC,GME
80,Cyclacel Pharmaceuticals Inc,-0.69,-0.73,5.48,0,EQUITY,2018-03-28T20:30:00.000Z,TAS,CYCC
81,UniFirst Corp,2.85,1.14,150.0,0,EQUITY,2018-03-28T16:30:00.000Z,BMO,UNF
82,eMagin Corp,-0.04,-0.04,0.0,0,EQUITY,2018-03-28T13:00:00.000Z,TAS,EMAN
